"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the successful login with valid username and password.","50142","testFourExpectedFailure","Suite - Parallel Execution","Tue May 26 21:13:29 UTC 2026","passed","Tue May 26 21:14:20 UTC 2026","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourExpectedFailure"
"The test will verify the ABTest scenario by passing URL parameter.","1123","Test_With_Opt_Out_Url","Suite - Parallel Execution","Tue May 26 21:14:20 UTC 2026","passed","Tue May 26 21:14:21 UTC 2026","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Opt_Out_Url"
"Verify the successful login with valid username and password.","1550","testThreeExpectedFailure","Suite - Parallel Execution","Tue May 26 21:10:13 UTC 2026","failed","Tue May 26 21:10:14 UTC 2026","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeExpectedFailure"
"Verify the error message with invalid username and password.","1","testOneUnstableTest","Suite - Parallel Execution","Tue May 26 21:09:56 UTC 2026","passed","Tue May 26 21:09:56 UTC 2026","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneUnstableTest"
"Verify the error message with invalid username and password.","1","testThreeUnstableTest","Suite - Parallel Execution","Tue May 26 21:10:09 UTC 2026","passed","Tue May 26 21:10:09 UTC 2026","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeUnstableTest"
"Verify the successful login with valid username and password.","1687","testTwoValidLoginTwo","Suite - Parallel Execution","Tue May 26 21:10:03 UTC 2026","passed","Tue May 26 21:10:04 UTC 2026","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginTwo"
"Verify the successful login with valid username and password.","2226","testOneExpectedFailure","Suite - Parallel Execution","Tue May 26 21:09:59 UTC 2026","failed","Tue May 26 21:10:01 UTC 2026","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneExpectedFailure"
"The test will verify the ABTest scenario by forge an opt-out cookie.","1252","Test_With_Cookie_Before_Visiting_Page","Suite - Parallel Execution","Tue May 26 21:14:20 UTC 2026","passed","Tue May 26 21:14:21 UTC 2026","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_Before_Visiting_Page"
"Verify the element capture as an image using getScreenshotAs() method Selenium 4 feature.","1","testElementGetScreenshot","Suite - Parallel Execution","Tue May 26 21:09:36 UTC 2026","unknown","Tue May 26 21:09:36 UTC 2026","test.java.tests.selenium.TestElementGetScreenshot","Test Parallel Execution","test.java.tests.selenium.TestElementGetScreenshot","testElementGetScreenshot"
"The test will verify the ABTest scenario by forge an opt-out cookie after visiting the page.","1160","Test_With_Cookie_After_Visiting_Page","Suite - Parallel Execution","Tue May 26 21:14:20 UTC 2026","passed","Tue May 26 21:14:21 UTC 2026","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_After_Visiting_Page"
