2021-10-17 08:26:50 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (3207d94a-dea9-4685-a05c-713a915a6354)] -> id: login]] Present.
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (a176e3fe-5fd7-44c3-925d-9515de056d14)] -> id: login]] Present.
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (d78438cc-0aba-4c6a-8a71-ba782a64b92c)] -> id: login]] Present.
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:26:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (d78438cc-0aba-4c6a-8a71-ba782a64b92c)] -> css selector: .flash.success]] Present.
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (d78438cc-0aba-4c6a-8a71-ba782a64b92c)] -> css selector: .flash.success]] Present.
2021-10-17 08:26:52 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (d78438cc-0aba-4c6a-8a71-ba782a64b92c)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:04 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:04 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (a9c6c9a4-b81e-418a-ac17-97c369af5c6a)] -> id: login]] Present.
2021-10-17 08:27:04 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:04 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:05 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:05 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (a9c6c9a4-b81e-418a-ac17-97c369af5c6a)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:13 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:13 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (b5a6ba8e-8628-46c9-aaa6-d3e21f3b2ea8)] -> id: login]] Present.
2021-10-17 08:27:13 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:13 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:14 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:14 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (b5a6ba8e-8628-46c9-aaa6-d3e21f3b2ea8)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:14 INFO  Base : 49 - [onTestFailure] Screenshot captured for test case: testOneExpectedFailure
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (08ae6fc2-64e1-4f19-99f5-b76f6708c7f2)] -> id: login]] Present.
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (71228d39-63b3-4db7-b21f-f4f24cbf34e4)] -> id: login]] Present.
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:27 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:28 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:28 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:28 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (71228d39-63b3-4db7-b21f-f4f24cbf34e4)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:28 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (71228d39-63b3-4db7-b21f-f4f24cbf34e4)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:29 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:29 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (ce60f46b-3c8b-4b99-8e2b-8658a2c04b62)] -> id: login]] Present.
2021-10-17 08:27:29 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:29 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:30 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:30 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (ce60f46b-3c8b-4b99-8e2b-8658a2c04b62)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:38 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:38 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (93db46d5-10ab-471d-93b6-6186780203b5)] -> id: login]] Present.
2021-10-17 08:27:38 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:38 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:39 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:39 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (93db46d5-10ab-471d-93b6-6186780203b5)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:50 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
2021-10-17 08:27:50 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (1c9ffc75-129e-4264-bb03-376b8a2f6944)] -> id: login]] Present.
2021-10-17 08:27:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'tomsmith' into 'By.id: username' locator
2021-10-17 08:27:51 INFO  test.java.pageobjects.BasePage : 39 - [type] 'SuperSecretPassword!' into 'By.id: password' locator
2021-10-17 08:27:51 INFO  test.java.pageobjects.BasePage : 34 - [click] on 'By.cssSelector: button' locator
2021-10-17 08:27:51 INFO  test.java.pageobjects.BasePage : 44 - [isDisplayed] Element [[[FirefoxDriver: firefox on WINDOWS (1c9ffc75-129e-4264-bb03-376b8a2f6944)] -> css selector: .flash.success]] Present.
2021-10-17 08:27:51 INFO  Base : 49 - [onTestFailure] Screenshot captured for test case: testTwoExpectedFailure
2021-10-17 08:28:05 INFO  test.java.pageobjects.BasePage : 25 - [visit] 'http://the-internet.herokuapp.com/login' URL
