"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the element capture as an image using getScreenshotAs() method Selenium 4 feature.","2","testElementGetScreenshot","Suite - Parallel Execution","Tue Apr 07 20:05:51 UTC 2026","unknown","Tue Apr 07 20:05:51 UTC 2026","test.java.tests.selenium.TestElementGetScreenshot","Test Parallel Execution","test.java.tests.selenium.TestElementGetScreenshot","testElementGetScreenshot"
"Verify the successful login with valid username and password.","1256","testTwoExpectedFailure","Suite - Parallel Execution","Tue Apr 07 20:07:49 UTC 2026","failed","Tue Apr 07 20:07:50 UTC 2026","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoExpectedFailure"
"Verify the successful login with valid username and password.","1737","testFourValidLoginTwo","Suite - Parallel Execution","Tue Apr 07 20:07:57 UTC 2026","passed","Tue Apr 07 20:07:59 UTC 2026","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourValidLoginTwo"
"Verify the successful login with valid username and password.","1275","testThreeExpectedFailure","Suite - Parallel Execution","Tue Apr 07 20:07:55 UTC 2026","failed","Tue Apr 07 20:07:56 UTC 2026","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeExpectedFailure"
"Verify the successful login with valid username and password.","1840","testOneValidLoginTwo","Suite - Parallel Execution","Tue Apr 07 20:06:03 UTC 2026","passed","Tue Apr 07 20:06:05 UTC 2026","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneValidLoginTwo"
"Verify the successful login with valid username and password.","1717","testFourValidLoginOne","Suite - Parallel Execution","Tue Apr 07 20:07:57 UTC 2026","passed","Tue Apr 07 20:07:59 UTC 2026","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourValidLoginOne"
"Verify the successful login with valid username and password.","1295","testFourExpectedFailure","Suite - Parallel Execution","Tue Apr 07 20:08:01 UTC 2026","failed","Tue Apr 07 20:08:02 UTC 2026","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourExpectedFailure"
"The test will verify the ABTest scenario by forge an opt-out cookie.","1115","Test_With_Cookie_Before_Visiting_Page","Suite - Parallel Execution","Tue Apr 07 20:08:03 UTC 2026","passed","Tue Apr 07 20:08:04 UTC 2026","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_Before_Visiting_Page"
"Verify the successful login with valid username and password.","1486","testTwoValidLoginTwo","Suite - Parallel Execution","Tue Apr 07 20:06:10 UTC 2026","passed","Tue Apr 07 20:06:11 UTC 2026","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginTwo"
"Verify the error message with invalid username and password.","0","testTwoUnstableTest","Suite - Parallel Execution","Tue Apr 07 20:06:10 UTC 2026","passed","Tue Apr 07 20:06:10 UTC 2026","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoUnstableTest"
