"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the successful login with valid username and password.","2434","testThreeExpectedFailure","Suite - Parallel Execution","Sun Dec 14 19:38:27 UTC 2025","failed","Sun Dec 14 19:38:30 UTC 2025","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeExpectedFailure"
"The test will verify the ABTest scenario by forge an opt-out cookie after visiting the page.","1098","Test_With_Cookie_After_Visiting_Page","Suite - Parallel Execution","Sun Dec 14 19:38:38 UTC 2025","passed","Sun Dec 14 19:38:39 UTC 2025","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_After_Visiting_Page"
"Verify the error message with invalid username and password.","1","testFourUnstableTest","Suite - Parallel Execution","Sun Dec 14 19:38:31 UTC 2025","passed","Sun Dec 14 19:38:31 UTC 2025","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourUnstableTest"
"Verify the 'Due' column sort functionality in an ascending order with step level screenshot.","1669","testDuesColumnAscendingSortWithStepLevelScreenshot","Suite - Parallel Execution","Sun Dec 14 19:38:40 UTC 2025","passed","Sun Dec 14 19:38:41 UTC 2025","test.java.tests.theInternet.TestTables","Test Parallel Execution","test.java.tests.theInternet.TestTables","testDuesColumnAscendingSortWithStepLevelScreenshot"
"Verify the successful login with valid username and password.","1434","testFourExpectedFailure","Suite - Parallel Execution","Sun Dec 14 19:38:36 UTC 2025","failed","Sun Dec 14 19:38:37 UTC 2025","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourExpectedFailure"
"Verify the error message with invalid username and password.","0","testThreeUnstableTest","Suite - Parallel Execution","Sun Dec 14 19:38:24 UTC 2025","passed","Sun Dec 14 19:38:24 UTC 2025","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeUnstableTest"
"Verify the successful login with valid username and password.","1412","testTwoValidLoginTwo","Suite - Parallel Execution","Sun Dec 14 19:38:21 UTC 2025","passed","Sun Dec 14 19:38:22 UTC 2025","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginTwo"
"Verify the 'Due' column sort functionality in an ascending order.","1132","testDuesColumnAscendingSort","Suite - Parallel Execution","Sun Dec 14 19:38:40 UTC 2025","passed","Sun Dec 14 19:38:41 UTC 2025","test.java.tests.theInternet.TestTables","Test Parallel Execution","test.java.tests.theInternet.TestTables","testDuesColumnAscendingSort"
"Verify the successful login with valid username and password.","1455","testTwoValidLoginOne","Suite - Parallel Execution","Sun Dec 14 19:38:21 UTC 2025","passed","Sun Dec 14 19:38:23 UTC 2025","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginOne"
"Verify the successful login with valid username and password.","2474","testOneValidLoginTwo","Suite - Parallel Execution","Sun Dec 14 19:36:35 UTC 2025","passed","Sun Dec 14 19:36:38 UTC 2025","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneValidLoginTwo"
"Verify the error message with invalid username and password.","1","testOneUnstableTest","Suite - Parallel Execution","Sun Dec 14 19:36:36 UTC 2025","failed","Sun Dec 14 19:36:36 UTC 2025","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneUnstableTest"
"The test will verify the ABTest scenario by passing URL parameter.","1025","Test_With_Opt_Out_Url","Suite - Parallel Execution","Sun Dec 14 19:38:38 UTC 2025","passed","Sun Dec 14 19:38:39 UTC 2025","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Opt_Out_Url"
